"","Step","Df","Deviance","Resid. Df","Resid. Dev","AIC"
"1","",NA,NA,84,0.0106962612970379,-801.390361235527
"2","+ central:density",-1,0.000572197917605297,83,0.0101240633794326,-804.338486170039
"3","- urban",1,2.0833752859023e-05,84,0.0101448971322916,-806.153470424752
"4","+ density:taxpc",-1,0.000327254828945047,83,0.00981764230334658,-807.104555237332
